bike_route_name,street_name,bikeway_type,subtype,status,surface_type,snow_removal,segment_length,latitude,longitude,Province
Valley,Trafalgar,Local Street,,Active,Paved,No,,49.25873749637606,-123.1648608,BC
Cypress,Angus Drive,Local Street,,Active,Paved,No,,49.226411504363014,-123.1479756,BC
Off-Broadway,St. Catherines,Local Street,,Active,Paved,No,,49.26497549022152,-123.0851854,BC
33rd Ave,W 33rd Ave,Painted Lanes,NB,Active,Paved,Yes,,49.241988884362335,-123.1471315,BC
Ontario,Ontario,Local Street,,Active,Paved,Yes,,49.23325544160059,-123.1056502,BC
Cypress,East Blvd,Local Street,,Active,Paved,No,,49.21468528089104,-123.1473126,BC
Cardero,Cardero,Local Street,,Active,Paved,No,,49.28832078561055,-123.1339831,BC
33rd Ave,W 33rd Ave,Protected Bike Lanes,R,Active,Paved,Yes,,49.24126154050453,-123.1232123,BC
Melville/Dunsmuir,Melville,Painted Lanes,NB,Active,Paved,Yes,,49.28895394918708,-123.1256322,BC
14th Ave,E 14th Ave,Protected Bike Lanes,OSB,Active,Paved,No,,49.258387752880154,-123.1008525,BC
Keefer,Keefer,Local Street,,Active,Paved,No,,49.27947572416369,-123.0993532,BC
45th Ave,E 45th Ave,Local Street,,Active,Paved,No,,49.22905444,-123.0805024,BC
Cassiar,Cassiar,Local Street,,Active,Paved,No,,49.286033724656996,-123.0305511,BC
Ontario,Ontario,Local Street,,Active,Paved,Yes,,49.222507053214976,-123.1060662,BC
Yukon,Yukon,Local Street,,Active,Paved,No,,49.25801173289221,-123.113094,BC
Midtown/Ridgeway,E 37th Ave,Local Street,,Active,Paved,No,,49.23645795,-123.0827541,BC
Central Valley,Great Northern Way,Protected Bike Lanes,R,Active,Paved,No,,49.266827196331974,-123.0956579,BC
10th Ave,W 10th Ave,Local Street,,Active,Paved,Yes,,49.262204238947504,-123.11196,BC
Ridgeway,Nanaimo,Local Street,,Active,Paved,No,,49.23195267615734,-123.058846,BC
Central Valley,Off Street,Protected Bike Lanes,SL,Active,Paved,No,,49.26700508932196,-123.0966823,BC
45th Ave,E 47th Ave,Local Street,,Active,Paved,No,,49.22741834017783,-123.0716793,BC
Arbutus Greenway,Off Street,Protected Bike Lanes,OSB,Temporary,Paved,Yes,,49.26356683599897,-123.1523844,BC
Burrard,Burrard,Painted Lanes,NB,Active,Paved,Yes,,49.278551575241465,-123.1299799,BC
Ridgeway,Narvaez Drive,Local Street,,Active,Paved,No,,49.244237035714335,-123.1628015,BC
Ridgeway,W 18th Ave,Local Street,,Active,Paved,No,,49.25649754932933,-123.1887177,BC
SW Marine,SW Marine Drive,Painted Lanes,PBT,Active,Paved,Yes,,49.23246998831839,-123.1903477,BC
SW Marine,SW Marine Drive,Painted Lanes,NB,Active,Paved,Yes,,49.23547505597222,-123.1988983,BC
Sunrise,Vivian Drive,Local Street,,Active,Paved,No,,49.214807725314685,-123.0524591,BC
4th Ave,W 4th Ave,Painted Lanes,NB,Active,Paved,Yes,,49.26878135419791,-123.1950632,BC
Wales Duchess,Wales,Local Street,,Active,Paved,No,,49.23510729851453,-123.0517149,BC
29th Ave,Nanton,Local Street,,Active,Paved,No,,49.24636999767225,-123.1313716,BC
Sunrise,Earles,Local Street,,Active,Paved,No,,49.232008901130925,-123.0487905,BC
45th Ave,W 45th Ave,Local Street,,Active,Paved,No,,49.230982,-123.1685071,BC
Cypress,Cypress,Local Street,,Active,Paved,Yes,,49.26741577242623,-123.147991,BC
Masumi Mitsui Greenway,Upland Drive,Local Street,,Active,Paved,No,,49.21805830308949,-123.0652807,BC
Mosaic,Woodland Drive,Local Street,,Active,Paved,Yes,,49.26247155429991,-123.0736285,BC
45th Ave,Hudson,Local Street,,Active,Paved,No,,49.23022021374412,-123.1349645,BC
Balaclava,Balaclava,Local Street,,Active,Paved,No,,49.24731874338003,-123.1757088,BC
Masumi Mitsui Greenway,Lynbrook Drive,Local Street,,Active,Paved,No,,49.21707348067972,-123.0509364,BC
SW Marine,SW Marine Drive,Painted Lanes,PBT,Active,Paved,Yes,,49.22876756252536,-123.1750936,BC
Valley,Valley Drive,Local Street,,Active,Paved,No,,49.252032950598014,-123.1609121,BC
Columbia,Columbia,Local Street,,Active,Paved,No,,49.26814982304209,-123.1094245,BC
Windsor,Windsor,Local Street,,Active,Paved,No,,49.255201390626034,-123.0836507,BC
Stanley Park Trails,Off Street,Protected Bike Lanes,OSS,Active,Unpaved,No,,49.312077014609265,-123.1439971,BC
Adanac,Adanac,Local Street,,Active,Paved,Yes,,49.277457709548294,-123.0498994,BC
York,Off Street,Protected Bike Lanes,OSB,Active,Paved,Yes,,49.27242921014806,-123.1453216,BC
Adanac,Adanac,Local Street,,Active,Paved,Yes,,49.277443850561774,-123.0348957,BC
Sunrise,Slocan,Local Street,,Active,Paved,No,,49.26921947612804,-123.0494693,BC
Pender,Pender,Painted Lanes,NB,Active,Paved,Yes,,49.28115831956701,-123.1080139,BC
Heather,Heather,Local Street,,Active,Paved,No,,49.21045472102892,-123.1241286,BC
10th Ave,W 10th Ave,Local Street,,Active,Paved,Yes,,49.26303089558495,-123.1635737,BC
Cambie,Cambie,Protected Bike Lanes,SL,Active,Paved,Yes,,49.28319693252504,-123.1092559,BC
Seaside,Off Street,Protected Bike Lanes,OSS,Active,Unpaved,No,,49.27621643037728,-123.2145712,BC
Seaside Bypass,Lamey's Mill Rd,Local Street,,Active,Paved,Yes,,49.26740927536136,-123.1349064,BC
Charles,Charles St,Protected Bike Lanes,R,Active,Paved,No,,49.27294285,-123.0567186,BC
Sunrise,Slocan,Local Street,,Active,Paved,No,,49.27642131511557,-123.0493528,BC
Chestnut,Chestnut,Local Street,,Active,Paved,No,,49.27587947985927,-123.1462326,BC
Valley,Trafalgar,Local Street,,Active,Paved,No,,49.26753947,-123.1645459,BC
Masumi Mitsui Greenway,E 59th Ave,Local Street,,Active,Paved,No,,49.21639140032693,-123.0774428,BC
Balaclava,Balaclava,Local Street,,Active,Paved,No,,49.220955003822894,-123.1760962,BC
41st Ave,W 41st Ave,Protected Bike Lanes,R,Active,Paved,Yes,,49.23372561353758,-123.1214759,BC
Musqueam Park Trail,,Protected Bike Lanes,OSS,Active,,No,,49.2233206,-123.1911808,BC
Portside,Wall,Local Street,,Active,Paved,Yes,,49.29088671495055,-123.0555273,BC
BC Parkway,Off Street,Protected Bike Lanes,OSS,Active,Paved,No,,49.247401954763426,-123.0540928,BC
Burrard,Burrard,Protected Bike Lanes,SL,Active,Paved,Yes,,49.270439911179075,-123.1455102,BC
Sunrise,Slocan,Shared Lanes,,Active,Paved,Yes,,49.247826233001994,-123.0496325,BC
Masumi Mitsui Greenway,E 59th Ave,Local Street,,Active,Paved,No,,49.21661486,-123.0955859,BC
Balaclava,Balaclava,Local Street,,Active,Paved,No,,49.22590891265088,-123.1759587,BC
Adanac,Adanac,Local Street,,Active,Paved,Yes,,49.27766575728873,-123.0782372,BC
Central Valley,Off Street,Protected Bike Lanes,OSS,Active,Paved,Yes,,49.25946151838652,-123.0409866,BC
Sunrise,Kaslo,Local Street,,Active,Paved,No,,49.278472938799176,-123.0467068,BC
Chilco,Chilco,Local Street,,Active,Paved,No,,49.29285906329641,-123.1391849,BC
Ridgeway,E 45th Ave,Local Street,,Active,Paved,No,,49.22923369706983,-123.0246595,BC
Stanley Park Trails,Off Street,Protected Bike Lanes,OSS,Active,Unpaved,No,,49.29821066782537,-123.15479,BC
Masumi Mitsui Greenway,E 59th Ave,Local Street,,Active,Paved,No,,49.21655230615872,-123.0906893,BC
Central Valley,Grandview Hwy North,Protected Bike Lanes,SL,Active,Paved,Yes,,49.26383295221741,-123.0700521,BC
10th Ave,W 10th Ave,Local Street,,Active,Paved,Yes,,49.262690918082974,-123.1422405,BC
Cassiar,Cassiar,Local Street,,Active,Paved,No,,49.28451560055608,-123.0308722,BC
Ontario,Ontario,Local Street,,Active,Paved,Yes,,49.24791444,-123.1050306,BC
45th Ave,E 47th Ave,Local Street,,Active,Paved,No,,49.22768588,-123.0789382,BC
Mosaic,E 14th Ave,Local Street,,Active,Paved,No,,49.25774788191883,-123.069526,BC
Adanac,Adanac,Local Street,,Active,Paved,Yes,,49.277474,-123.0575688,BC
Kent,SE Marine Drive,Protected Bike Lanes,OSS,Active,Paved,No,,49.21105388193072,-123.0742014,BC
45th Ave,E 47th Ave,Local Street,,Active,Paved,No,,49.22758824111611,-123.0595378,BC
Seaside,Off Street,Protected Bike Lanes,OSB,Active,Paved,Yes,,49.27174500396371,-123.1293362,BC
Hillcrest,E 29th Ave,Local Street,,Active,Paved,No,,49.24456324565357,-123.0759375,BC
Nanaimo,Nanaimo St.,Painted Lanes,PBP,Active,Paved,Yes,,49.27807484077967,-123.0565717,BC
York,York Ave,Local Street,,Active,Paved,Yes,,49.271798693508245,-123.1614337,BC
Balaclava,Carnarvon,Local Street,,Active,Paved,No,,49.23401312373694,-123.1730532,BC
45th Ave,W 45th Ave,Local Street,,Active,Paved,No,,49.23085779654258,-123.1555525,BC
Adanac,Union,Local Street,,Active,Paved,Yes,,49.27757266403032,-123.0945628,BC
Yukon,W 4th Ave,Painted Lanes,PBP,Active,Paved,Yes,,49.26387076392019,-123.1128702,BC
Central Valley,Grandview Hwy North,Protected Bike Lanes,SL,Active,Paved,Yes,,49.26359215141685,-123.069406,BC
Masumi Mitsui Greenway,E 57th Ave,Local Street,,Active,Paved,No,,49.21806567246858,-123.0509144,BC
Cypress,Angus Drive,Local Street,,Active,Paved,No,,49.23663138312636,-123.1476015,BC
Prince Edward,Prince Edward,Local Street,,Active,Paved,No,,49.22391846388846,-123.0975609,BC
Seaside,Ogden,Local Street,,Active,Paved,No,,49.27684889515701,-123.1478239,BC
Columbia,Columbia,Local Street,,Active,Paved,No,,49.26769754349646,-123.1094269,BC
Windsor,E 43rd Ave,Local Street,,Active,Paved,No,,49.23086599859794,-123.0809055,BC
Cassiar,Cassiar,Local Street,,Active,Paved,No,,49.28124561105035,-123.0308338,BC
Balaclava,Balaclava,Local Street,,Active,Paved,No,,49.26078753374085,-123.1740979,BC
Alder,Alder,Local Street,,Active,Paved,No,,49.26502259,-123.1313001,BC
Chestnut,Chestnut,Protected Bike Lanes,SL,Active,Paved,No,,49.27270925451546,-123.1463663,BC
SW Marine,SW Marine Drive,Painted Lanes,NB,Active,Paved,No,,49.23479702832926,-123.1967786,BC
East Side Cross Cut,Lillooet St,Local Street,,Active,Paved,No,,49.27537537965239,-123.0388821,BC
Cambie,Cambie,Protected Bike Lanes,R,Active,Paved,Yes,,49.23050563327511,-123.1163152,BC
67th Ave,W 67th Ave,Local Street,,Active,Paved,No,,49.21069232687471,-123.1277539,BC
Kent,SE Marine Drive,Shared Lanes,,Active,Paved,Yes,,49.211087200987606,-123.077941,BC
Balaclava,Balaclava,Local Street,,Active,Paved,No,,49.24874319967079,-123.1756965,BC
Cypress,Angus Drive,Local Street,,Active,Paved,No,,49.23793824869165,-123.1469321,BC
Balaclava,Balaclava,Local Street,,Active,Paved,No,,49.26822624938123,-123.1738285,BC
45th Ave,W 45th Ave,Local Street,,Active,Paved,No,,49.23100857012685,-123.1654593,BC
29th Ave,Eddington Drive,Local Street,,Active,Paved,No,,49.245121175282456,-123.1624556,BC
Seaside Bypass,NW Marine Dr,Painted Lanes,NB,Active,Paved,Yes,,49.27458485645161,-123.2102432,BC
67th Ave,W 67th Ave,Local Street,,Active,Paved,No,,49.210816124932926,-123.1360331,BC
Midtown/Ridgeway,E 37th Ave,Local Street,,Active,Paved,No,,49.236431837432015,-123.0806943,BC
Valley,Trafalgar,Local Street,,Active,Paved,Yes,,49.27295345939501,-123.164353,BC
Dunsmuir,Dunsmuir,Protected Bike Lanes,SL,Active,Paved,Yes,,49.28227903255723,-123.1143321,BC
Dunbar,Dunbar,Shared Lanes,,Active,Paved,Yes,,49.23454329778474,-123.1853434,BC
Pandora,PANDORA ST,Local Street,,Active,Paved,No,,49.282989072585934,-123.0568918,BC
Quebec,Quebec,Protected Bike Lanes,R,Active,Paved,Yes,,49.26945301,-123.1026909,BC
Windsor,Windsor,Local Street,,Active,Paved,No,,49.26018883684495,-123.0833487,BC
Cardero,Cardero,Shared Lanes,,Active,Paved,No,,49.29164704371778,-123.1289581,BC
Ridgeway,Nanaimo,Local Street,,Active,Paved,No,,49.23312176689473,-123.0588761,BC
Valley,Trafalgar,Local Street,,Active,Paved,No,,49.26010712,-123.1648122,BC
Masumi Mitsui Greenway,W 58th Ave,Local Street,,Active,Paved,No,,49.21781108518433,-123.1150514,BC
Windsor,Windsor,Local Street,,Active,Paved,No,,49.25862555076501,-123.0833819,BC
Chilco,Chilco,Local Street,,Active,Paved,No,,49.29311628981931,-123.1388011,BC
Midtown,E 29th Ave,Shared Lanes,,Active,Paved,Yes,,49.24452503677921,-123.0280602,BC
Off-Broadway,W 5th Ave,Local Street,,Active,Paved,No,,49.26649906849081,-123.1057186,BC
Lakewood,Lakewood,Local Street,,Active,Paved,No,,49.28141411249098,-123.0616973,BC
Cassiar,Off Street,Protected Bike Lanes,OSS,Active,Paved,No,,49.287960293597905,-123.0285268,BC
Cambie,Cambie,Painted Lanes,NB,Active,Paved,Yes,,49.234938770448785,-123.1161366,BC
Adanac,Adanac,Local Street,,Active,Paved,Yes,,49.27743096143345,-123.0264266,BC
Fraser River Trail,Off Street,Protected Bike Lanes,OSB,Active,Unpaved,No,,49.20533226259725,-123.0493413,BC
Midtown,Earles,Shared Lanes,,Active,Paved,Yes,,49.24383441297135,-123.0428547,BC
Lakewood,Lakewood,Local Street,,Active,Paved,No,,49.26614724140469,-123.0619516,BC
Smithe,Smithe,Protected Bike Lanes,SL,Active,Paved,Yes,,49.27888354105952,-123.119215,BC
Nanaimo,Nanaimo St.,Painted Lanes,PBP,Active,Paved,Yes,,49.27509415151443,-123.0565811,BC
Ridgeway,E 45th Ave,Local Street,,Active,Paved,No,,49.22928952041006,-123.0405431,BC
Midtown/Ridgeway,W 37th Ave,Local Street,,Active,Paved,No,,49.23807981411931,-123.1412821,BC
Sunrise,Slocan,Local Street,,Active,Paved,No,,49.25426901530214,-123.0495503,BC
Midtown/Ridgeway,E 37th Ave,Local Street,,Active,Paved,No,,49.23653210984757,-123.0887928,BC
Pandora,PANDORA ST,Local Street,,Active,Paved,No,,49.28305449256047,-123.067535,BC
10th Ave,W 10th Ave,Protected Bike Lanes,R,Active,Paved,Yes,,49.26234046413584,-123.1204363,BC
Gladstone,Gladstone,Protected Bike Lanes,R,Active,Paved,No,,49.24328624995282,-123.0621239,BC
Ontario,Ontario,Local Street,,Active,Paved,Yes,,49.248189463985334,-123.1050166,BC
14th Ave,E 14th Ave,Local Street,,Active,Paved,No,,49.258458353415264,-123.1048025,BC
Midtown/Ridgeway,E 37th Ave,Local Street,,Active,Paved,No,,49.236793632654496,-123.0720706,BC
Cassiar,Off Street,Protected Bike Lanes,OSS,Active,Paved,No,,49.28980074,-123.0271847,BC
Yukon,Yukon,Local Street,,Active,Paved,No,,49.25100869117031,-123.1127451,BC
14th Ave,W 14th Ave,Local Street,,Active,Paved,No,,49.25870067436682,-123.1255636,BC
Arbutus Greenway,Off Street,Protected Bike Lanes,OSB,Active,Paved,Yes,,49.26170360487063,-123.1524538,BC
Midtown/Ridgeway,W 37th Ave,Local Street,,Active,Paved,No,,49.23804902300526,-123.1392665,BC
Kerr,Kerr,Painted Lanes,NB,Active,Paved,Yes,,49.221889967719086,-123.0411993,BC
Beatty,Beatty,Protected Bike Lanes,SL,Active,Paved,Yes,,49.27862762660477,-123.1124007,BC
Ontario,Ontario,Local Street,,Active,Paved,Yes,,49.23031612703689,-123.1057751,BC
Balaclava,Balaclava,Local Street,,Active,Paved,No,,49.25109249,-123.1756729,BC
East Side Cross Cut,Lillooet St,Local Street,,Active,Paved,No,,49.27887205808649,-123.0388316,BC
Drake,Drake St,Protected Bike Lanes,SL,Active,Paved,Yes,,49.27529634868924,-123.1265588,BC
Burrard,Burrard,Painted Lanes,NB,Active,Paved,Yes,,49.281077497170415,-123.1261621,BC
Off-Broadway,W 8th Ave,Local Street,,Active,Paved,Yes,,49.26507793230517,-123.1760732,BC
Dunsmuir,Dunsmuir,Protected Bike Lanes,SL,Active,Paved,Yes,,49.28255635172759,-123.1147611,BC
Mosaic,Woodland Drive,Local Street,,Active,Paved,Yes,,49.26940584,-123.073496,BC
Central Valley,Grandview Hwy North,Local Street,,Active,Paved,Yes,,49.25821003701441,-123.052149,BC
SW Marine,SW Marine Drive,Painted Lanes,PBT,Active,Paved,Yes,,49.23051144657609,-123.1850627,BC
Inverness,Inverness,Local Street,,Active,Paved,No,,49.21443720227238,-123.0801197,BC
Heather,Heather,Local Street,,Active,Paved,No,,49.24826278,-123.1204027,BC
Heather,Heather,Local Street,,Active,Paved,No,,49.21180372608995,-123.1240814,BC
Blanca,Blanca,Painted Lanes,PBT,Active,Paved,Yes,,49.25915690471048,-123.215384,BC
Burrard,Burrard,Protected Bike Lanes,R,Active,Paved,Yes,,49.27706706517763,-123.1322234,BC
Heather,Heather,Local Street,,Active,Paved,No,,49.24502800894402,-123.1205134,BC
Nelson,Nelson,Protected Bike Lanes,SL,Active,Paved,Yes,,49.27682075267141,-123.1192491,BC
Pender,Pender,Shared Lanes,,Active,Paved,Yes,,49.290269286436995,-123.1297435,BC
29th Ave,Nanton,Local Street,,Active,Paved,No,,49.247589876179234,-123.1504361,BC
Ridgeway,E 45th Ave,Local Street,,Active,Paved,Yes,,49.22939382222236,-123.0566828,BC
Chestnut,Chestnut,Local Street,,Active,Paved,No,,49.27609747,-123.1462231,BC
Dunbar,Dunbar,Painted Lanes,NB,Active,Paved,Yes,,49.24830482513012,-123.1852022,BC
Wales Duchess,Euclid,Local Street,,Active,Paved,No,,49.24237335861046,-123.0486538,BC
45th Ave,E 45th Ave,Local Street,,Active,Paved,No,,49.22908775563093,-123.0847951,BC
Off-Broadway,W 7th Ave,Local Street,,Active,Paved,No,,49.265338837488784,-123.1379747,BC
45th Ave,E 45th Ave,Local Street,,Active,Paved,No,,49.22911152014033,-123.0866523,BC
BC Parkway,Vanness,Protected Bike Lanes,OSS,Active,Paved,No,,49.24952295237238,-123.0586695,BC
Seaside,Off Street,Protected Bike Lanes,OSB,Active,Paved,No,,49.29699184201112,-123.1299494,BC
Windsor,Windsor,Local Street,,Active,Paved,No,,49.247119662967215,-123.0839082,BC
14th Ave,W 14th Ave,Local Street,,Active,Paved,No,,49.25866254492449,-123.123181,BC
Cardero,Cardero,Painted Lanes,,Active,Paved,No,,49.290801648538746,-123.1302345,BC
Mosaic,Woodland Drive,Local Street,,Active,Paved,No,,49.258798415094574,-123.0737009,BC
10th Ave,W 10th Ave,Protected Bike Lanes,SL,Active,Paved,Yes,,49.26289662660558,-123.1550471,BC
Quebec,Quebec,Painted Lanes,NB,Active,Paved,Yes,,49.27570344206818,-123.1020362,BC
22nd Ave,E 22nd Ave,Painted Lanes,NB,Active,Paved,Yes,,49.25063915213913,-123.046737,BC
Yukon,Yukon,Local Street,,Active,Paved,No,,49.24815398692379,-123.1122268,BC
45th Ave,W 45th Ave,Local Street,,Active,Paved,No,,49.23067701594026,-123.1438026,BC
Beach,MORTON AV,Protected Bike Lanes,SL,Active,Paved,Yes,,49.28845397943468,-123.1426874,BC
Waterfront Rd,Main,Shared Lanes,,Active,Paved,No,,49.28577147392525,-123.1067552,BC
Thurlow,Thurlow,Painted Lanes,PBT,Active,Paved,No,,49.27795654962883,-123.1348654,BC
Cypress,Angus Drive,Local Street,,Active,Paved,No,,49.21923086856864,-123.1482537,BC
Hillcrest,E 28th Ave,Local Street,,Active,Paved,No,,49.245385382409935,-123.074313,BC
Cassiar,Off Street,Protected Bike Lanes,OSS,Active,Paved,No,,49.291009134009805,-123.0271187,BC
10th Ave,E 10th Ave,Protected Bike Lanes,SL,Active,Paved,Yes,,49.26143892305245,-123.0784859,BC
Ontario,Ontario,Local Street,,Active,Paved,Yes,,49.264447054153706,-123.1048359,BC
Off-Broadway,W 7th Ave,Local Street,,Active,Paved,No,,49.265102382947035,-123.1231967,BC
Pacific,Pacific Blvd,Painted Lanes,NB,Active,Paved,Yes,,49.27447088,-123.1196269,BC
Central Valley,Grandview Hwy North,Local Street,,Active,Paved,Yes,,49.258763225440525,-123.0573508,BC
Cypress,SW Marine Drive,Shared Lanes,,Active,Paved,No,,49.20779070793283,-123.1422083,BC
45th Ave,E 47th Ave,Local Street,,Active,Paved,No,,49.22766758263403,-123.0775566,BC
SW Marine,SW Marine Drive,Painted Lanes,NB,Active,Paved,Yes,,49.23722768871788,-123.2053006,BC
BC Parkway,Off Street,Protected Bike Lanes,OSS,Active,Paved,No,,49.23589118222282,-123.0267861,BC
Central Valley,Grandview Hwy North,Local Street,,Active,Paved,Yes,,49.25908549171014,-123.0581547,BC
Columbia,Columbia,Protected Bike Lanes,OSS,Active,Paved,No,,49.27192560986289,-123.109342,BC
Adanac,Adanac,Local Street,,Active,Paved,Yes,,49.277456285005314,-123.0480201,BC
Balaclava,Puget Drive,Local Street,,Active,Paved,No,,49.25531662098649,-123.1759367,BC
45th Ave,Nanaimo,Local Street,,Active,Paved,No,,49.22871624792136,-123.0590496,BC
Quebec,Quebec,Painted Lanes,NB,Active,Paved,Yes,,49.27514607,-123.1019527,BC
Off-Broadway,E 5th Ave,Local Street,,Active,Paved,No,,49.26640277186853,-123.1004119,BC
14th Ave,E 14th Ave,Local Street,,Active,Paved,No,,49.25839940194848,-123.1014629,BC
Off-Broadway,W 8th Ave,Local Street,,Active,Paved,Yes,,49.26512551905667,-123.1792107,BC
Nelson,Nelson,Protected Bike Lanes,SL,Active,Paved,Yes,,49.27783001238902,-123.1208075,BC
Central Valley,Clark,Protected Bike Lanes,OSS,Active,Paved,Yes,,49.26580785270173,-123.0774322,BC
Ontario,Ontario,Local Street,,Active,Paved,Yes,,49.25141509132346,-123.1048737,BC
Ridgeway,Quesnel Drive,Local Street,,Active,Paved,No,,49.24615047165584,-123.1679165,BC
Mosaic,Woodland Drive,Local Street,,Active,Paved,Yes,,49.26815971810052,-123.0735203,BC
45th Ave,W 45th Ave,Local Street,,Active,Paved,No,,49.23100292178319,-123.1717358,BC
Dumfries,Lane E of Dumfries,Protected Bike Lanes,OSS,Active,Paved,No,,49.217449503725526,-123.0740359,BC
Midtown,Moscrop,Local Street,,Active,Paved,No,,49.243241934047106,-123.0266938,BC
Windsor,Windsor,Local Street,,Active,Paved,No,,49.23467374505103,-123.0847686,BC
East Side Cross Cut,Lillooet St,Local Street,,Active,Paved,No,,49.277651815733314,-123.0388348,BC
Sunrise,Slocan,Local Street,,Active,Paved,No,,49.27600667179715,-123.0493591,BC
45th Ave,W 45th Ave,Local Street,,Active,Paved,No,,49.22949071323443,-123.106912,BC
Midtown/Ridgeway,W 37th Ave,Local Street,,Active,Paved,No,,49.23825961116582,-123.1530454,BC
Windsor,Glen Drive,Local Street,,Active,Paved,No,,49.26325731200531,-123.0813507,BC
Dunbar,Dunbar,Painted Lanes,NB,Active,Paved,Yes,,49.239761795638046,-123.1852861,BC
Midtown/Ridgeway,E 37th Ave,Local Street,,Active,Paved,No,,49.23652182105997,-123.0881746,BC
Kent,W Kent Ave North,Shared Lanes,,Active,Paved,No,,49.20566614798496,-123.1195711,BC
Hillcrest,E 29th Ave,Local Street,,Active,Paved,No,,49.244613310494614,-123.0835164,BC
Balaclava,Quesnel Drive,Local Street,,Active,Paved,No,,49.25339443796787,-123.1759625,BC
Ridgeway,W 18th Ave,Local Street,,Active,Paved,No,,49.25646803227825,-123.1813882,BC
Mosaic,Woodland Drive,Local Street,,Active,Paved,Yes,,49.27284086435877,-123.0734282,BC
Beatty,Beatty,Protected Bike Lanes,SL,Active,Paved,Yes,,49.28101037176585,-123.1087995,BC
Prince Edward,Prince Edward,Local Street,,Active,Paved,No,,49.258123365661945,-123.0964158,BC
22nd Ave,E 22nd Ave,Painted Lanes,NB,Active,Paved,Yes,,49.25066070700265,-123.0499191,BC
Seaside Bypass,NW Marine Dr,Painted Lanes,NB,Active,Paved,Yes,,49.27465986444217,-123.2071858,BC
Off-Broadway,W 7th Ave,Local Street,,Active,Paved,No,,49.26548974099902,-123.1473452,BC
Fraser River Trail,Off Street,Protected Bike Lanes,OSS,Active,Unpaved,No,,49.206976332151704,-123.1511537,BC
Midtown/Ridgeway,W 37th Ave,Local Street,,Active,Paved,No,,49.23748508873107,-123.1229254,BC
King Edward,W King Edward,Painted Lanes,PBP,Active,Paved,Yes,,49.24973068,-123.1490887,BC
10th Ave,W 10th Ave,Protected Bike Lanes,SL,Active,Paved,No,,49.26135503058231,-123.0678468,BC
Masumi Mitsui Greenway,Upland Drive,Local Street,,Active,Paved,No,,49.21794402844233,-123.0570862,BC
Windermere,Windermere,Local Street,,Active,Paved,No,,49.27805503280539,-123.0362069,BC
Off-Broadway,E 5th Ave,Local Street,,Active,Paved,No,,49.266464170522354,-123.103784,BC
Sunrise,Elliott,Local Street,,Active,Paved,No,,49.20627942288682,-123.056851,BC
Nanaimo,Nanaimo St.,Painted Lanes,PBP,Active,Paved,Yes,,49.27766780317366,-123.0565739,BC
Seaside,Off Street,Protected Bike Lanes,OSB,Active,Paved,Yes,,49.26800087182203,-123.1228635,BC
Dumfries,Dumfries,Local Street,,Active,Paved,No,,49.254129683630616,-123.0729183,BC
Dumfries,Dumfries,Local Street,,Active,Paved,No,,49.22019579935339,-123.0747334,BC
Hastings Park,Off Street,Protected Bike Lanes,OSB,Active,Paved,No,,49.28334534935793,-123.0406537,BC
Burrard,Burrard,Painted Lanes,NB,Active,Paved,Yes,,49.28591244424614,-123.1188524,BC
Smithe,Smithe,Protected Bike Lanes,SL,Active,Paved,Yes,,49.28047395149339,-123.121675,BC
Balaclava,Carnarvon,Local Street,,Active,Paved,No,,49.23545156585779,-123.1730429,BC
Yukon,Yukon,Painted Lanes,NB,Active,Paved,Yes,,49.26059969442696,-123.1129965,BC
Cardero,Cardero,Local Street,,Active,Paved,No,,49.28680261225675,-123.1362743,BC
Sunrise,Vivian Drive,Local Street,,Active,Paved,No,,49.21756782472168,-123.0505646,BC
45th Ave,E 45th Ave,Local Street,,Active,Paved,No,,49.22921500470575,-123.0926432,BC
22nd Ave,E 22nd Ave,Shared Lanes,,Active,Paved,Yes,,49.25064232105431,-123.0247425,BC
Cypress,Adera,Local Street,,Active,Paved,No,,49.21208788560347,-123.143572,BC
Hastings Park,Off Street,Protected Bike Lanes,OSS,Active,Paved,No,,49.282408023995224,-123.0330542,BC
Central Valley,Off Street,Protected Bike Lanes,OSB,Active,Paved,Yes,,49.26224182179338,-123.0660216,BC
Off-Broadway,W 5th Ave,Local Street,,Active,Paved,No,,49.266589682602834,-123.1106173,BC
Kent,Kinross St,Shared Lanes,,Active,Paved,No,,49.205901556938656,-123.0366866,BC
Mosaic,McLean Drive,Local Street,,Active,Paved,Yes,,49.28010566695881,-123.0741054,BC
Heather,Heather,Local Street,,Active,Paved,No,,49.21112639013401,-123.1241066,BC
Adanac,Adanac,Local Street,,Active,Paved,Yes,,49.27745074798304,-123.0410863,BC
Valley,Trafalgar,Local Street,,Active,Paved,Yes,,49.263371019010926,-123.1646955,BC
Cypress,Cypress,Local Street,,Active,Paved,No,,49.25593805897344,-123.1484155,BC
Midtown/Ridgeway,W 37th Ave,Local Street,,Active,Paved,No,,49.237347827523735,-123.1082412,BC
Kent,E Kent Ave North,Protected Bike Lanes,OSS,Active,Unpaved,No,,49.206057225664686,-123.052926,BC
Mosaic,McLean Drive,Local Street,,Active,Paved,Yes,,49.27626385327337,-123.0744237,BC
Kerr,Kerr,Painted Lanes,NB,Active,Paved,Yes,,49.22345235672736,-123.0411158,BC
Lakewood,Lakewood,Local Street,,Active,Paved,No,,49.26840888287157,-123.0619088,BC
